"area_familia","modalidad","canton","provincia","num_cap_cer","total_cursos","volumen_capacitados","total_ganancias","%_asistencia","carga_horaria","costo","anio","total_horas","prediction(total_horas)"
"procesos industriales","online","quito","pichincha",267.0,12.0,1394.0,0.0,0.0,8.0,0.0,2021.0,2136.0,3462.0
"procesos industriales","presencial","quito","pichincha",4.0,12.0,1394.0,0.0,0.0,8.0,0.0,2021.0,32.0,32.0
"procesos industriales","presencial","quito","pichincha",3.0,17.0,247.0,0.0,0.0,8.0,0.0,2019.0,24.0,24.0
"procesos industriales","online","quito","pichincha",20.0,17.0,247.0,0.0,0.0,8.0,0.0,2019.0,160.0,157.0
"procesos industriales","presencial","quito","pichincha",17.0,17.0,247.0,0.0,0.0,16.0,0.0,2019.0,272.0,272.0
"procesos industriales","presencial","quito","pichincha",24.0,17.0,247.0,0.0,0.0,16.0,0.0,2019.0,384.0,392.0
"procesos industriales","online","quito","pichincha",29.0,17.0,247.0,0.0,0.0,8.0,0.0,2019.0,232.0,232.0
"procesos industriales","online","quito","pichincha",43.0,17.0,247.0,0.0,0.0,8.0,0.0,2019.0,344.0,328.0
"procesos industriales","presencial","quito","pichincha",31.0,17.0,247.0,0.0,0.0,8.0,0.0,2019.0,248.0,256.0
"procesos industriales","online","quito","pichincha",31.0,17.0,247.0,0.0,0.0,8.0,0.0,2019.0,248.0,232.0
"procesos industriales","online","quito","pichincha",2.0,17.0,247.0,0.0,0.0,16.0,0.0,2019.0,32.0,32.0
"educación y capacitación","online","ibarra","imbabura",22.0,9.0,245.0,0.0,0.0,40.0,0.0,2021.0,880.0,890.0
"alimentación gastronomía y turismo","presencial","ibarra","imbabura",114.0,9.0,245.0,0.0,0.0,40.0,0.0,2021.0,4560.0,4910.0
"alimentación gastronomía y turismo","online","ibarra","imbabura",114.0,9.0,245.0,0.0,0.0,40.0,0.0,2021.0,4560.0,4910.0
"educación y capacitación","presencial","ibarra","imbabura",16.0,4.0,60.0,0.0,0.0,40.0,0.0,2018.0,640.0,748.1818181818181
"educación y capacitación","online","ibarra","imbabura",16.0,4.0,60.0,0.0,0.0,40.0,0.0,2018.0,640.0,748.1818181818181
"administración y legislación","presencial","quito","pichincha",3.0,1.0,3.0,0.0,0.0,40.0,0.0,2020.0,120.0,72.0
"administración y legislación","presencial","quito","pichincha",59.0,3.0,75.0,0.0,0.0,40.0,0.0,2022.0,2360.0,2617.1428571428573
"administración y legislación","presencial","quito","pichincha",10.0,3.0,75.0,0.0,0.0,40.0,0.0,2022.0,400.0,406.6666666666667
"servicios socioculturales y a la comunidad","presencial","quito","pichincha",5.0,1.0,5.0,0.0,0.0,40.0,0.0,2021.0,200.0,200.0
"alimentación gastronomía y turismo","presencial","quito","pichincha",213.0,13.0,1219.0,0.0,0.0,240.0,0.0,2021.0,51120.0,32262.0
"alimentación gastronomía y turismo","presencial","quito","pichincha",33.0,13.0,1219.0,0.0,0.0,200.0,0.0,2021.0,6600.0,8160.0
"alimentación gastronomía y turismo","presencial","quito","pichincha",44.0,13.0,1219.0,0.0,0.0,240.0,0.0,2021.0,10560.0,8160.0
"educación y capacitación","semipresencial","guayaquil","guayas",723.0,3.0,1307.0,0.0,0.0,150.0,0.0,2021.0,108450.0,82886.0
"artes y artesanía","presencial","quito","pichincha",4.0,3.0,24.0,0.0,0.0,40.0,0.0,2021.0,160.0,96.0
"educación y capacitación","online","santo domingo","santo domingo de los tsachilas",9.0,15.0,1119.0,0.0,0.0,40.0,0.0,2021.0,360.0,355.5
"procesos industriales","online","santo domingo","santo domingo de los tsachilas",202.0,15.0,1119.0,0.0,0.0,8.0,0.0,2021.0,1616.0,1540.0
"procesos industriales","presencial","santo domingo","santo domingo de los tsachilas",3.0,15.0,1119.0,0.0,0.0,60.0,0.0,2021.0,180.0,170.0
"administración y legislación","presencial","santo domingo","santo domingo de los tsachilas",55.0,15.0,1119.0,0.0,0.0,8.0,0.0,2021.0,440.0,450.0
"tecnologías de la información y comunicación","presencial","quito","pichincha",28.0,23.0,1218.0,16520.0,0.2333333333333333,40.0,590.0,2021.0,1120.0,1146.6666666666667
"tecnologías de la información y comunicación","presencial","quito","pichincha",16.0,23.0,1218.0,6188.8,0.1333333333333333,40.0,386.8,2021.0,640.0,748.1818181818181
"electricidad y electrónica","presencial","quito","pichincha",15.0,23.0,1218.0,0.0,0.125,40.0,0.0,2021.0,600.0,748.1818181818181
"educación y capacitación","presencial","quito","pichincha",95.0,23.0,1218.0,0.0,0.7916666666666667,40.0,0.0,2021.0,3800.0,4060.0
"tecnologías de la información y comunicación","presencial","quito","pichincha",115.0,23.0,1218.0,83352.00000000001,0.9583333333333331,40.0,724.8000000000001,2021.0,4600.0,4910.0
"tecnologías de la información y comunicación","presencial","quito","pichincha",1.0,23.0,1218.0,386.8,0.0083333333333333,40.0,386.8,2021.0,40.0,40.0
"educación y capacitación","presencial","quito","pichincha",4.0,23.0,1218.0,0.0,0.0333333333333333,120.0,0.0,2021.0,480.0,490.0
"tecnologías de la información y comunicación","presencial","quito","pichincha",15.0,23.0,1218.0,1998.0,0.125,40.0,133.2,2021.0,600.0,748.1818181818181
"tecnologías de la información y comunicación","presencial","quito","pichincha",12.0,14.0,127.0,4641.6,0.1,40.0,386.8,2019.0,480.0,488.0
"educación y capacitación","presencial","quito","pichincha",4.0,14.0,127.0,0.0,0.0333333333333333,40.0,0.0,2019.0,160.0,128.0
"tecnologías de la información y comunicación","presencial","quito","pichincha",3.0,14.0,127.0,1160.4,0.025,40.0,386.8,2019.0,120.0,115.0
"alimentación gastronomía y turismo","presencial","guayaquil","guayas",12.0,3.0,14.0,0.0,0.0,144.0,0.0,2021.0,1728.0,1325.0
"alimentación gastronomía y turismo","online","guayaquil","guayas",12.0,3.0,14.0,0.0,0.0,144.0,0.0,2021.0,1728.0,1325.0
"alimentación gastronomía y turismo","presencial","guayaquil","guayas",14.0,3.0,21.0,0.0,0.0,144.0,0.0,2019.0,2016.0,1914.0
"tecnologías de la información y comunicación","presencial","guayaquil","guayas",51.0,3.0,69.0,15045.0,0.0,20.0,295.0,2021.0,1020.0,1038.5
"tecnologías de la información y comunicación","presencial","guayaquil","guayas",10.0,3.0,69.0,7500.0,0.0,40.0,750.0,2021.0,400.0,406.6666666666667
"procesos industriales","presencial","quito","pichincha",13.0,12.0,282.0,0.0,0.0,40.0,0.0,2021.0,520.0,488.0
"procesos industriales","presencial","quito","pichincha",40.0,12.0,282.0,0.0,0.0,40.0,0.0,2021.0,1600.0,1520.0
"procesos industriales","presencial","quito","pichincha",56.0,12.0,282.0,0.0,0.0,40.0,0.0,2021.0,2240.0,2082.0
"procesos industriales","presencial","quito","pichincha",13.0,12.0,282.0,0.0,0.0,40.0,0.0,2021.0,520.0,488.0
"servicios socioculturales y a la comunidad","presencial","quito","pichincha",10.0,4.0,55.0,0.0,0.0,100.0,0.0,2019.0,1000.0,1325.0
"alimentación gastronomía y turismo","presencial","daule","guayas",6.0,4.0,235.0,0.0,0.0,40.0,0.0,2021.0,240.0,240.0
"alimentación gastronomía y turismo","presencial","daule","guayas",60.0,4.0,235.0,0.0,0.0,312.0,0.0,2021.0,18720.0,42579.333333333336
"alimentación gastronomía y turismo","presencial","daule","guayas",44.0,2.0,54.0,0.0,0.0,312.0,0.0,2019.0,13728.0,11539.5
"tecnologías de la información y comunicación","presencial","quito","pichincha",2.0,40.0,2808.0,580.2,0.0071377587437544,30.0,290.1,2021.0,60.0,115.0
"comunicación y artes gráficas","presencial","quito","pichincha",42.0,40.0,2808.0,0.0,0.1498929336188436,30.0,0.0,2021.0,1260.0,1680.0
"tecnologías de la información y comunicación","presencial","quito","pichincha",13.0,40.0,2808.0,2683.2000000000003,0.046395431834404,30.0,206.4,2021.0,390.0,330.0
"tecnologías de la información y comunicación","presencial","quito","pichincha",286.0,40.0,2808.0,90090.0,1.020699500356888,30.0,315.0,2021.0,8580.0,17401.466666666667
"tecnologías de la información y comunicación","presencial","quito","pichincha",21.0,40.0,2808.0,1417.5,0.0749464668094218,30.0,67.5,2021.0,630.0,446.0
"tecnologías de la información y comunicación","presencial","quito","pichincha",682.0,40.0,2808.0,65642.49999318,2.4339757316202717,30.0,96.24999999,2021.0,20460.0,17401.466666666667
"tecnologías de la información y comunicación","presencial","quito","pichincha",32.0,40.0,2808.0,10080.0,0.1142041399000713,30.0,315.0,2021.0,960.0,904.0
"comunicación y artes gráficas","presencial","quito","pichincha",255.0,40.0,2808.0,0.0,0.9100642398286938,20.0,0.0,2021.0,5100.0,4777.9
"tecnologías de la información y comunicación","presencial","quito","pichincha",1.0,40.0,2808.0,182.7,0.0035688793718772,30.0,182.7,2021.0,30.0,30.0
"tecnologías de la información y comunicación","presencial","quito","pichincha",43.0,40.0,2808.0,8604.3,0.1534618129907209,30.0,200.1,2021.0,1290.0,1680.0
"educación y capacitación","presencial","ibarra","imbabura",73.0,8.0,312.0,0.0,0.0,152.0,0.0,2021.0,11096.0,7340.0
"educación y capacitación","presencial","ibarra","imbabura",19.0,8.0,312.0,0.0,0.0,190.0,0.0,2021.0,3610.0,3648.0
"procesos industriales","presencial","guayaquil","guayas",5.0,7.0,104.0,0.0,0.0,16.0,0.0,2021.0,80.0,106.66666666666667
"procesos industriales","online","MISSING","cotopaxi",30.0,5.0,193.0,0.0,0.0,30.0,0.0,2021.0,900.0,889.3333333333334
"procesos industriales","online","MISSING","cotopaxi",113.0,5.0,193.0,0.0,0.0,20.0,0.0,2021.0,2260.0,2264.8571428571427
"electricidad y electrónica","presencial","quito","pichincha",22.0,38.0,3266.0,0.0,0.0,60.0,0.0,2021.0,1320.0,1410.0
"procesos industriales","presencial","quito","pichincha",19.0,38.0,3266.0,0.0,0.0,18.0,0.0,2021.0,342.0,380.0
"procesos industriales","online","quito","pichincha",19.0,38.0,3266.0,0.0,0.0,18.0,0.0,2021.0,342.0,380.0
"procesos industriales","presencial","quito","pichincha",2.0,38.0,3266.0,0.0,0.0,16.0,0.0,2021.0,32.0,20.8
"procesos industriales","presencial","quito","pichincha",17.0,38.0,3266.0,0.0,0.0,16.0,0.0,2021.0,272.0,272.0
"electricidad y electrónica","presencial","quito","pichincha",6.0,38.0,3266.0,0.0,0.0,20.0,0.0,2021.0,120.0,115.0
"electricidad y electrónica","presencial","quito","pichincha",22.0,38.0,3266.0,0.0,0.0,100.0,0.0,2021.0,2200.0,2570.0
"electricidad y electrónica","online","quito","pichincha",22.0,38.0,3266.0,0.0,0.0,100.0,0.0,2021.0,2200.0,2570.0
"electricidad y electrónica","presencial","quito","pichincha",3.0,38.0,3266.0,0.0,0.0,20.0,0.0,2021.0,60.0,60.0
"electricidad y electrónica","presencial","quito","pichincha",5.0,38.0,3266.0,0.0,0.0,120.0,0.0,2021.0,600.0,694.2857142857143
"electricidad y electrónica","presencial","quito","pichincha",5.0,38.0,3266.0,0.0,0.0,100.0,0.0,2021.0,500.0,550.0
"educación y capacitación","presencial","quito","pichincha",22.0,38.0,3266.0,0.0,0.0,40.0,0.0,2021.0,880.0,890.0
"educación y capacitación","online","quito","pichincha",22.0,38.0,3266.0,0.0,0.0,40.0,0.0,2021.0,880.0,890.0
"procesos industriales","presencial","quito","pichincha",15.0,38.0,3266.0,0.0,0.0,100.0,0.0,2021.0,1500.0,1914.0
"procesos industriales","online","quito","pichincha",15.0,38.0,3266.0,0.0,0.0,100.0,0.0,2021.0,1500.0,1914.0
"electricidad y electrónica","presencial","quito","pichincha",25.0,38.0,3266.0,0.0,0.0,60.0,0.0,2021.0,1500.0,1410.0
"procesos industriales","presencial","quito","pichincha",248.0,38.0,3266.0,0.0,0.0,10.0,0.0,2021.0,2480.0,1750.0
"procesos industriales","online","quito","pichincha",248.0,38.0,3266.0,0.0,0.0,18.0,0.0,2021.0,4464.0,4172.0
"procesos industriales","online","quito","pichincha",248.0,38.0,3266.0,0.0,0.0,10.0,0.0,2021.0,2480.0,2320.0
"electricidad y electrónica","online","quito","pichincha",6.0,38.0,3266.0,0.0,0.0,16.0,0.0,2021.0,96.0,106.66666666666667
"procesos industriales","presencial","quito","pichincha",14.0,38.0,3266.0,0.0,0.0,10.0,0.0,2021.0,140.0,170.0
"procesos industriales","presencial","quito","pichincha",194.0,38.0,3266.0,0.0,0.0,24.0,0.0,2021.0,4656.0,4172.0
"procesos industriales","online","quito","pichincha",194.0,38.0,3266.0,0.0,0.0,24.0,0.0,2021.0,4656.0,4172.0
"procesos industriales","online","quito","pichincha",194.0,38.0,3266.0,0.0,0.0,10.0,0.0,2021.0,1940.0,1437.3333333333333
"procesos industriales","online","quito","pichincha",194.0,38.0,3266.0,0.0,0.0,40.0,0.0,2021.0,7760.0,7269.333333333333
"procesos industriales","presencial","quito","pichincha",194.0,38.0,3266.0,0.0,0.0,20.0,0.0,2021.0,3880.0,4172.0
"procesos industriales","semipresencial","quito","pichincha",194.0,38.0,3266.0,0.0,0.0,24.0,0.0,2021.0,4656.0,4172.0
"procesos industriales","presencial","quito","pichincha",143.0,38.0,3266.0,0.0,0.0,36.0,0.0,2021.0,5148.0,4172.0
"procesos industriales","online","quito","pichincha",143.0,38.0,3266.0,0.0,0.0,36.0,0.0,2021.0,5148.0,4172.0
"procesos industriales","online","quito","pichincha",143.0,38.0,3266.0,0.0,0.0,40.0,0.0,2021.0,5720.0,7269.333333333333
"procesos industriales","presencial","quito","pichincha",732.0,38.0,3266.0,0.0,0.0,30.0,0.0,2021.0,21960.0,17401.466666666667
"procesos industriales","presencial","quito","pichincha",732.0,38.0,3266.0,0.0,0.0,16.0,0.0,2021.0,11712.0,7709.5
"procesos industriales","presencial","quito","pichincha",732.0,38.0,3266.0,0.0,0.0,12.0,0.0,2021.0,8784.0,7709.5
"procesos industriales","online","quito","pichincha",732.0,38.0,3266.0,0.0,0.0,40.0,0.0,2021.0,29280.0,17401.466666666667
"procesos industriales","online","quito","pichincha",732.0,38.0,3266.0,0.0,0.0,12.0,0.0,2021.0,8784.0,7709.5
"procesos industriales","online","quito","pichincha",732.0,38.0,3266.0,0.0,0.0,16.0,0.0,2021.0,11712.0,7709.5
"procesos industriales","presencial","quito","pichincha",128.0,38.0,3266.0,0.0,0.0,10.0,0.0,2021.0,1280.0,1150.0
"procesos industriales","online","quito","pichincha",691.0,38.0,3266.0,0.0,0.0,20.0,0.0,2021.0,13820.0,14230.0
"procesos industriales","online","quito","pichincha",691.0,38.0,3266.0,0.0,0.0,10.0,0.0,2021.0,6910.0,7709.5
"procesos industriales","presencial","quito","pichincha",691.0,38.0,3266.0,0.0,0.0,24.0,0.0,2021.0,16584.0,17401.466666666667
"procesos industriales","presencial","quito","pichincha",15.0,38.0,3266.0,0.0,0.0,16.0,0.0,2021.0,240.0,240.0
"procesos industriales","presencial","quito","pichincha",12.0,38.0,3266.0,0.0,0.0,10.0,0.0,2021.0,120.0,96.0
"mecánica industrial y minería","online","quito","pichincha",85.0,38.0,3266.0,0.0,0.0,16.0,0.0,2021.0,1360.0,1469.3333333333333
"procesos industriales","online","quito","pichincha",103.0,38.0,3266.0,0.0,0.0,20.0,0.0,2021.0,2060.0,1980.0
"procesos industriales","presencial","quito","pichincha",103.0,38.0,3266.0,0.0,0.0,24.0,0.0,2021.0,2472.0,2782.0
"procesos industriales","online","quito","pichincha",103.0,38.0,3266.0,0.0,0.0,24.0,0.0,2021.0,2472.0,2782.0
"procesos industriales","semipresencial","quito","pichincha",103.0,38.0,3266.0,0.0,0.0,24.0,0.0,2021.0,2472.0,2782.0
"procesos industriales","presencial","quito","pichincha",3.0,4.0,9.0,0.0,0.0,16.0,0.0,2021.0,48.0,54.0
"procesos industriales","presencial","quito","pichincha",3.0,4.0,9.0,0.0,0.0,8.0,0.0,2021.0,24.0,24.0
"administración y legislación","online","quito","pichincha",1337.0,1.0,1337.0,0.0,0.0,64.0,0.0,2021.0,85568.0,17401.466666666667
"transporte y logística","presencial","latacunga","cotopaxi",26.0,12.0,2045.0,0.0,0.0,20.0,0.0,2021.0,520.0,463.83333333333337
"construcción e infraestructura","presencial","latacunga","cotopaxi",13.0,12.0,2045.0,0.0,0.0,40.0,0.0,2021.0,520.0,488.0
"educación y capacitación","online","quito","pichincha",204.0,30.0,2885.0,0.0,0.0,21.0,0.0,2021.0,4284.0,3853.5
"educación y capacitación","online","quito","pichincha",219.0,30.0,2885.0,0.0,0.0,21.0,0.0,2021.0,4599.0,3853.5
"educación y capacitación","online","quito","pichincha",32.0,30.0,2885.0,0.0,0.0,21.0,0.0,2021.0,672.0,504.0
"educación y capacitación","online","quito","pichincha",387.0,30.0,2885.0,0.0,0.0,28.0,0.0,2021.0,10836.0,17401.466666666667
"educación y capacitación","online","quito","pichincha",160.0,30.0,2885.0,0.0,0.0,28.0,0.0,2021.0,4480.0,3853.5
"educación y capacitación","online","quito","pichincha",24.0,30.0,2885.0,0.0,0.0,28.0,0.0,2021.0,672.0,588.0
"educación y capacitación","online","quito","pichincha",77.0,30.0,2885.0,0.0,0.0,21.0,0.0,2021.0,1617.0,1400.0
"educación y capacitación","online","quito","pichincha",31.0,20.0,692.0,0.0,0.0,21.0,0.0,2019.0,651.0,504.0
"administración y legislación","online","quito","pichincha",11.0,3.0,18.0,0.0,0.0,40.0,0.0,2021.0,440.0,406.6666666666667
"administración y legislación","presencial","quito","pichincha",40.0,10.0,305.0,0.0,0.0,40.0,0.0,2021.0,1600.0,1520.0
"educación y capacitación","presencial","guayaquil","guayas",54.0,4.0,110.0,0.0,0.0,80.0,0.0,2021.0,4320.0,3582.0
"procesos industriales","online","quito","pichincha",202.0,17.0,3031.0,0.0,0.0,24.0,0.0,2021.0,4848.0,4852.0
"procesos industriales","presencial","quito","pichincha",355.0,17.0,3031.0,0.0,0.0,24.0,0.0,2021.0,8520.0,17401.466666666667
"procesos industriales","online","quito","pichincha",355.0,17.0,3031.0,0.0,0.0,24.0,0.0,2021.0,8520.0,17401.466666666667
"procesos industriales","semipresencial","quito","pichincha",355.0,17.0,3031.0,0.0,0.0,24.0,0.0,2021.0,8520.0,17401.466666666667
"procesos industriales","presencial","quito","pichincha",23.0,13.0,648.0,0.0,0.0,24.0,0.0,2019.0,552.0,588.0
"procesos industriales","online","quito","pichincha",23.0,13.0,648.0,0.0,0.0,24.0,0.0,2019.0,552.0,588.0
"industrias  manufactureras","desconocida","guayaquil","guayas",19.0,2.0,20.0,0.0,0.0,0.0,0.0,2021.0,0.0,0.0
"procesos industriales","presencial","quito","pichincha",57.0,6.0,236.0,0.0,0.0,10.0,0.0,2021.0,570.0,520.0
"procesos industriales","presencial","quito","pichincha",2.0,6.0,236.0,0.0,0.0,10.0,0.0,2021.0,20.0,32.0
"administración y legislación","online","latacunga","cotopaxi",216.0,24.0,3608.0,0.0,0.0,200.0,0.0,2021.0,43200.0,32262.0
"administración y legislación","online","latacunga","cotopaxi",24.0,24.0,3608.0,0.0,0.0,40.0,0.0,2021.0,960.0,965.7142857142857
"finanzas comercio y ventas","online","latacunga","cotopaxi",409.0,24.0,3608.0,0.0,0.0,80.0,0.0,2021.0,32720.0,17401.466666666667
"educación y capacitación","presencial","latacunga","cotopaxi",86.0,24.0,3608.0,0.0,0.0,150.0,0.0,2021.0,12900.0,10315.0
"administración y legislación","online","guayaquil","guayas",6.0,20.0,5039.0,0.0,0.0,24.0,0.0,2021.0,144.0,144.0
"procesos industriales","online","guayaquil","guayas",85.0,20.0,5039.0,0.0,0.0,10.0,0.0,2021.0,850.0,798.7272727272727
"transporte y logística","presencial","guayaquil","guayas",33.0,20.0,5039.0,0.0,0.0,38.0,0.0,2021.0,1254.0,1296.75
"transporte y logística","online","guayaquil","guayas",3.0,20.0,5039.0,0.0,0.0,40.0,0.0,2021.0,120.0,91.16666666666666
"transporte y logística","presencial","guayaquil","guayas",8.0,20.0,5039.0,0.0,0.0,40.0,0.0,2021.0,320.0,320.0
"transporte y logística","presencial","guayaquil","guayas",80.0,20.0,5039.0,0.0,0.0,26.0,0.0,2021.0,2080.0,2005.3333333333333
"administración y legislación","online","guayaquil","guayas",66.0,23.0,1389.0,0.0,0.0,12.0,0.0,2021.0,792.0,806.6666666666666
"administración y legislación","online","guayaquil","guayas",13.0,23.0,1389.0,0.0,0.0,12.0,0.0,2021.0,156.0,189.2
"administración y legislación","online","guayaquil","guayas",126.0,23.0,1389.0,0.0,0.0,12.0,0.0,2021.0,1512.0,1396.0
"administración y legislación","online","guayaquil","guayas",10.0,23.0,1389.0,0.0,0.0,12.0,0.0,2021.0,120.0,117.0
"tecnologías de la información y comunicación","presencial","guayaquil","guayas",19.0,23.0,1389.0,731.499999924,0.0,12.0,38.499999996,2021.0,228.0,228.0
"tecnologías de la información y comunicación","presencial","guayaquil","guayas",37.0,23.0,1389.0,6549.0,0.0,12.0,177.0,2021.0,444.0,444.0
"administración y legislación","online","guayaquil","guayas",19.0,23.0,1389.0,0.0,0.0,12.0,0.0,2021.0,228.0,228.0
"administración y legislación","presencial","guayaquil","guayas",145.0,23.0,1389.0,0.0,0.0,12.0,0.0,2021.0,1740.0,1465.0
"procesos industriales","presencial","guayaquil","guayas",38.0,23.0,1389.0,0.0,0.0,12.0,0.0,2021.0,456.0,444.0
"procesos industriales","online","guayaquil","guayas",38.0,23.0,1389.0,0.0,0.0,12.0,0.0,2021.0,456.0,444.0
"procesos industriales","online","guayaquil","guayas",20.0,23.0,1389.0,0.0,0.0,12.0,0.0,2021.0,240.0,244.0
"procesos industriales","online","guayaquil","guayas",14.0,23.0,1389.0,0.0,0.0,12.0,0.0,2021.0,168.0,176.0
"procesos industriales","presencial","guayaquil","guayas",26.0,23.0,1389.0,0.0,0.0,12.0,0.0,2021.0,312.0,444.0
"procesos industriales","online","guayaquil","guayas",26.0,23.0,1389.0,0.0,0.0,12.0,0.0,2021.0,312.0,444.0
"procesos industriales","online","guayaquil","guayas",32.0,23.0,1389.0,0.0,0.0,12.0,0.0,2021.0,384.0,444.0
"educación y capacitación","online","guayaquil","guayas",8.0,23.0,1389.0,0.0,0.0,12.0,0.0,2021.0,96.0,117.0
"educación y capacitación","presencial","guayaquil","guayas",8.0,23.0,1389.0,0.0,0.0,12.0,0.0,2021.0,96.0,117.0
"mecánica automotriz","presencial","cayambe","pichincha",31.0,10.0,178.0,0.0,0.0,200.0,0.0,2021.0,6200.0,8160.0
"alimentación gastronomía y turismo","presencial","quito","pichincha",9.0,8.0,324.0,0.0,0.0,120.0,0.0,2021.0,1080.0,969.1111111111111
"electricidad y electrónica","presencial","quito","pichincha",17.0,8.0,324.0,0.0,0.0,120.0,0.0,2021.0,2040.0,1914.0
"alimentación gastronomía y turismo","presencial","quito","pichincha",71.0,8.0,324.0,0.0,0.0,120.0,0.0,2021.0,8520.0,7340.0
"alimentación gastronomía y turismo","presencial","quito","pichincha",28.0,12.0,202.0,0.0,0.0,120.0,0.0,2018.0,3360.0,3495.0
"tecnologías de la información y comunicación","presencial","quito","pichincha",3.0,12.0,202.0,3481.2000000000003,0.0,120.0,1160.4,2018.0,360.0,490.0
"educación y capacitación","presencial","quito","pichincha",241.0,11.0,352.0,0.0,0.0,120.0,0.0,2021.0,28920.0,18060.0
"procesos industriales","presencial","quito","pichincha",28.0,6.0,349.0,0.0,0.0,8.0,0.0,2021.0,224.0,226.66666666666666
"procesos industriales","presencial","quito","pichincha",128.0,6.0,349.0,0.0,0.0,8.0,0.0,2021.0,1024.0,992.0
"procesos industriales","presencial","quito","pichincha",59.0,6.0,349.0,0.0,0.0,8.0,0.0,2021.0,472.0,450.0
"procesos industriales","presencial","quito","pichincha",30.0,6.0,349.0,0.0,0.0,12.0,0.0,2021.0,360.0,444.0
"procesos industriales","presencial","quito","pichincha",48.0,8.0,149.0,0.0,0.0,8.0,0.0,2018.0,384.0,346.6666666666667
"procesos industriales","presencial","quito","pichincha",5.0,8.0,149.0,0.0,0.0,12.0,0.0,2018.0,60.0,84.0
"administración y legislación","presencial","quito","pichincha",5.0,3.0,9.0,0.0,0.0,24.0,0.0,2021.0,120.0,120.0
"procesos industriales","online","latacunga","cotopaxi",206.0,15.0,1256.0,0.0,0.0,10.0,0.0,2021.0,2060.0,2320.0
"procesos industriales","presencial","latacunga","cotopaxi",243.0,15.0,1256.0,0.0,0.0,20.0,0.0,2021.0,4860.0,4852.0
